City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,3.81,93,0,1.54,AR,1731558868
1,grytviken,-54.2811,-36.5092,-1.59,81,71,2.02,GS,1731559098
2,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,3.09,US,1731559099
3,margaret river,-33.95,115.0667,22.47,55,32,7.48,AU,1731559101
4,saint-felicien,48.6501,-72.4491,-6.62,86,0,2.06,CA,1731559102
5,port lincoln,-34.7333,135.8667,16.4,56,58,5.25,AU,1731559103
6,haiku-pauwela,20.9219,-156.3051,23.91,88,40,16.54,US,1731559104
7,praia da vitoria,38.7333,-27.0667,17.14,82,75,6.04,PT,1731559105
8,buritis,-15.6178,-46.4233,20.76,97,100,1.63,BR,1731559107
9,adamstown,-25.066,-130.1015,21.63,85,95,1.54,PN,1731559108
10,dalandzadgad,43.5708,104.425,9.0,34,3,3.54,MN,1731559109
11,yuzhno-kurilsk,44.0306,145.8556,6.63,56,9,3.9,RU,1731559111
12,vorgashor,67.5833,63.95,-16.75,88,91,4.24,RU,1731559112
13,fale old settlement,-9.3852,-171.2468,28.61,78,36,7.56,TK,1731559113
14,ulladulla,-35.35,150.4667,17.5,71,99,3.08,AU,1731559114
15,tazovsky,67.4667,78.7,-31.71,100,84,1.02,RU,1731559115
16,ixtapa,20.7,-105.2,24.57,88,0,0.0,MX,1731559116
17,bodden town,19.2833,-81.25,26.1,96,100,3.58,KY,1731559117
18,enewetak,11.3474,162.3373,28.78,72,76,5.44,MH,1731559118
19,college,64.8569,-147.8028,-24.03,62,40,0.0,US,1731559119
20,belmonte,-15.8631,-38.8828,24.9,77,65,4.26,BR,1731559120
21,invercargill,-46.4,168.35,13.34,93,100,0.45,NZ,1731559122
22,bethel,41.3712,-73.414,1.98,65,1,1.39,US,1731559013
23,kirakira,-10.4544,161.9205,25.59,89,100,3.02,SB,1731559124
24,edinburgh of the seven seas,-37.0676,-12.3116,16.26,91,33,10.16,SH,1731559125
25,luocheng,29.3848,104.0286,20.76,71,85,1.29,CN,1731559126
26,punta arenas,-53.15,-70.9167,5.06,75,0,8.75,CL,1731559023
27,barra de santo antonio,-9.4047,-35.5072,25.37,72,76,5.21,BR,1731559128
28,bredasdorp,-34.5322,20.0403,15.89,70,24,5.8,ZA,1731559129
29,vorkuta,67.5,64.0,-16.49,88,91,3.76,RU,1731559130
30,catbalogan,11.85,124.9167,30.14,67,96,2.54,PH,1731559133
31,west island,-12.1568,96.8225,28.99,74,40,7.72,CC,1731559134
32,port-aux-francais,-49.35,70.2167,4.81,96,100,13.0,TF,1731559135
33,albany,42.6001,-73.9662,-1.37,72,2,0.44,US,1731559063
34,ilulissat,69.2167,-51.1,-4.99,63,38,5.66,GL,1731559137
35,st. john's,47.5649,-52.7093,3.97,98,100,11.32,CA,1731559138
36,tarnogskiy gorodok,60.4997,43.5761,0.76,97,100,4.52,RU,1731559139
37,talnakh,69.4865,88.3972,-25.43,99,100,0.08,RU,1731559140
38,nar'yan-mar,67.6713,53.087,-0.3,97,100,7.24,RU,1731559142
39,wewak,-3.5534,143.6268,29.09,72,98,3.32,PG,1731559143
40,sejny,54.108,23.347,-3.2,86,56,2.94,PL,1731559144
41,sidrolandia,-20.9319,-54.9614,16.03,50,3,3.09,BR,1731559145
42,uttar char fasson,22.2332,90.7132,27.06,58,0,5.75,BD,1731559146
43,qamdo,31.1667,97.2333,6.93,27,1,2.6,CN,1731559147
44,namdrik,5.5994,168.1028,26.22,83,100,1.46,MH,1731559148
45,ust-nera,64.5667,143.2,-30.08,97,79,1.1,RU,1731559149
46,saguenay,48.4168,-71.0657,-5.94,88,20,1.03,CA,1731559150
47,lubango,-14.9172,13.4925,17.92,94,96,2.06,AO,1731559151
48,bonthe,7.5264,-12.505,24.44,88,86,1.18,SL,1731559152
49,dryden,49.7833,-92.7503,1.16,100,100,1.54,CA,1731559154
50,remire-montjoly,4.9167,-52.2667,25.02,100,100,1.03,GF,1731559155
